,Age,Income,Children,Outage_sec_perweek,MonthlyCharge,Bandwidth_GB_Year,Tenure,Techie_Yes,Phone_Yes,Multiple_Yes,StreamingTV_Yes
0,68,28561.99,0,7.9783229470000006,172.45551899999998,904.5361101999999,6.795512947000001,0,1,0,0
1,27,21704.77,1,11.69907956,242.632554,800.9827661,1.156680997,1,1,1,1
2,50,9609.57,4,10.75280028,159.947583,2054.706961,15.75414408,1,1,1,0
3,48,18925.23,1,14.91353964,119.95683999999999,2164.579412,17.08722662,1,1,0,1
4,83,40074.19,0,8.147416533,149.948316,271.49343619999996,1.6709717259999999,0,0,0,1
5,83,22660.2,3,8.420992898,185.007692,1039.357983,7.000993555,0,1,1,0
6,79,11467.5,0,11.18272453,200.118516,1907.2429719999998,13.23677381,1,1,0,1
7,30,26759.64,2,7.791632265,114.950905,979.6127078,4.26425515,1,0,0,0
8,49,58634.51,2,5.739005915,117.46859099999999,1312.874964,8.220686373,0,1,0,0
9,86,50231.4,1,8.707823904,162.48269399999998,508.7637913,3.4220861389999997,0,1,0,0
10,23,22580.7,7,9.341631685,174.95811799999998,2728.7678690000002,19.26726194,0,1,1,1
11,56,18342.12,2,6.68082638,149.96209299999998,1180.588788,10.52199781,0,1,0,1
12,83,83671.08,0,8.273875452,137.439154,1196.3880179999999,13.01149229,0,1,0,1
13,29,115114.57,5,5.880565591,184.97151599999998,1948.694497,16.87922024,0,1,1,1
14,30,64256.81,1,11.79073041,159.96558100000001,1582.295235,10.06019902,0,0,1,0
15,39,89061.45,3,10.79846973,177.65076000000002,1840.0144670000002,13.87001293,0,1,0,1
16,63,31659.3,0,13.52284721,194.966286,2070.376729,15.78214958,0,1,1,0
17,60,44142.81,2,9.831166695,202.682861,882.0985933000001,2.303331273,0,1,0,1
18,61,39262.14,3,9.57470568,152.490739,1833.0967,17.10995632,1,1,0,1
19,23,19494.75,3,10.92246098,149.944668,1954.080809,12.80615845,0,1,1,1
20,38,39624.21,4,12.06889188,184.97845800000002,2330.319383,20.45390977,0,1,0,0
21,30,45714.47,3,6.984819996000001,127.49576599999999,594.1054279,2.415991977,0,1,0,0
22,52,27442.03,3,9.372975594,124.964303,713.0633088,6.652298992,0,1,0,0
23,68,79699.62,2,7.109002592,149.948316,945.3802927999999,8.543717478,0,1,0,1
24,75,28520.32,3,13.74777955,162.511928,870.7639800000001,5.770390256000001,0,1,1,0
25,77,12558.83,1,9.767668044,92.455141,774.2937069,4.157658837,0,1,0,0
26,47,8762.23,1,15.8626095,222.649979,1506.446527,10.40566091,0,1,0,1
27,70,43882.72,0,14.73616645,139.98157700000002,419.0508708,1.3924215969999998,0,1,0,1
28,20,10482.52,3,13.43558029,200.132293,1259.415493,1.4303863490000002,1,1,0,1
29,69,33442.79,4,10.61771118,257.651257,1745.1259559999999,5.425864884,0,1,1,1
30,45,43383.54,9,6.6130708060000005,230.105118,1795.465729,11.08287797,0,0,0,1
31,40,21793.88,0,4.4501716469999995,147.489301,492.4771472,3.5861849539999997,0,1,1,0
32,82,51960.51,6,8.774646693,230.105118,1013.993166,4.727388465,0,1,0,1
33,74,25942.1,5,11.13156721,174.95811799999998,2680.762173,20.89923386,0,1,1,1
34,69,11211.59,4,5.540788887000001,267.664655,1081.8143619999998,3.471329958,0,1,1,1
35,52,8283.29,1,13.80362698,162.48326699999998,1209.961168,5.478588203999999,0,1,1,0
36,26,10114.81,2,16.31017089,229.993134,897.5919144,3.3129918089999997,0,1,1,0
37,25,36229.21,1,9.447065309,140.00128,1340.9301560000001,7.161561527000001,0,1,1,0
38,66,25397.44,1,16.84100845,184.964681,1113.993679,9.847563363999999,0,1,0,0
39,72,50336.5,1,7.972937227,147.47384399999999,1530.10769,16.04202196,0,1,0,0
40,21,38211.37,3,11.42906608,172.45785700000002,1310.137419,9.179779682000001,0,1,0,1
41,55,52887.26,3,8.06137096,107.48198899999998,892.8964931,3.0028441439999995,0,1,0,0
42,41,12003.33,4,12.54780492,255.141716,1125.581944,3.924254455,0,1,1,1
43,32,24090.62,4,8.255565152,192.45674499999998,2016.7100309999998,18.55959629,0,1,1,0
44,22,15137.93,0,13.156514000000001,242.632554,1412.736809,8.798394712,0,1,1,1
45,44,54458.38,2,10.58349704,245.174977,1710.689671,10.377366,0,1,1,1
