,Age,Children,Income,Outage_sec_perweek,Phone_Yes,MonthlyCharge,Churn_Yes
0,68,0,28561.99,7.9783229470000006,1,172.45551899999998,0
1,27,1,21704.77,11.69907956,1,242.632554,1
2,50,4,9609.57,10.75280028,1,159.947583,0
3,48,1,18925.23,14.91353964,1,119.95683999999999,0
4,83,0,40074.19,8.147416533,0,149.948316,1
5,83,3,22660.2,8.420992898,1,185.007692,0
6,79,0,11467.5,11.18272453,1,200.118516,1
7,30,2,26759.64,7.791632265,0,114.950905,1
8,49,2,58634.51,5.739005915,1,117.46859099999999,0
9,86,1,50231.4,8.707823904,1,162.48269399999998,0
10,23,7,22580.7,9.341631685,1,174.95811799999998,0
11,56,2,18342.12,6.68082638,1,149.96209299999998,0
12,83,0,83671.08,8.273875452,1,137.439154,0
13,29,5,115114.57,5.880565591,1,184.97151599999998,0
14,30,1,64256.81,11.79073041,0,159.96558100000001,1
15,39,3,89061.45,10.79846973,1,177.65076000000002,1
16,63,0,31659.3,13.52284721,1,194.966286,1
17,60,2,44142.81,9.831166695,1,202.682861,1
18,61,3,39262.14,9.57470568,1,152.490739,0
19,23,3,19494.75,10.92246098,1,149.944668,1
20,38,4,39624.21,12.06889188,1,184.97845800000002,0
21,30,3,45714.47,6.984819996000001,1,127.49576599999999,0
22,52,3,27442.03,9.372975594,1,124.964303,0
23,68,2,79699.62,7.109002592,1,149.948316,0
24,75,3,28520.32,13.74777955,1,162.511928,1
25,77,1,12558.83,9.767668044,1,92.455141,1
26,47,1,8762.23,15.8626095,1,222.649979,1
27,70,0,43882.72,14.73616645,1,139.98157700000002,1
28,20,3,10482.52,13.43558029,1,200.132293,1
29,69,4,33442.79,10.61771118,1,257.651257,1
30,45,9,43383.54,6.6130708060000005,0,230.105118,0
31,40,0,21793.88,4.4501716469999995,1,147.489301,0
32,82,6,51960.51,8.774646693,1,230.105118,1
33,74,5,25942.1,11.13156721,1,174.95811799999998,1
34,69,4,11211.59,5.540788887000001,1,267.664655,1
35,52,1,8283.29,13.80362698,1,162.48326699999998,1
36,26,2,10114.81,16.31017089,1,229.993134,1
37,25,1,36229.21,9.447065309,1,140.00128,0
38,66,1,25397.44,16.84100845,1,184.964681,0
39,72,1,50336.5,7.972937227,1,147.47384399999999,0
40,21,3,38211.37,11.42906608,1,172.45785700000002,0
41,55,3,52887.26,8.06137096,1,107.48198899999998,0
42,41,4,12003.33,12.54780492,1,255.141716,1
43,32,4,24090.62,8.255565152,1,192.45674499999998,0
44,22,0,15137.93,13.156514000000001,1,242.632554,1
45,44,2,54458.38,10.58349704,1,245.174977,1
46,23,2,132116.33,12.50184778,1,184.964681,1
47,43,3,37358.13,9.750038902,1,195.006206,1
48,86,1,26534.16,7.8686608510000005,1,104.962874,0
49,84,2,76430.83,12.43563329,1,92.488023,0
50,62,2,4662.37,8.957166926000001,1,184.97968400000002,1
51,68,5,43820.85,8.015021713,1,187.656013,1
52,59,1,38391.55,4.210347704,1,149.96209299999998,0
53,31,0,44137.6,11.13960534,1,169.944668,1
54,51,0,14364.65,9.03738856,1,160.00128,1
55,58,1,62359.91,10.91594785,1,129.96209299999998,0
56,73,1,82634.86,8.387624096,1,114.950905,1
57,33,1,15690.25,11.4487514,1,142.515576,0
